lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
120.88,121.01,121.34,0.006866313699536608,121.332,121.54199999999999,1
121.71,120.88,121.01,0.0004108125872976931,121.34,121.548,0
121.76,121.71,120.88,-0.0011498028909330271,121.396,121.551,1
121.62,121.76,121.71,0.007811215260647764,121.708,121.649,1
122.57,121.62,121.76,0.0031410622501428787,122.123,121.7695,1
122.955,122.57,121.62,0.003619210280183971,122.46100000000001,121.89649999999999,1
123.4,122.955,122.57,0.0022690437601295965,122.845,122.0925,0
123.68,123.4,122.955,-0.0021021992238033915,123.20500000000001,122.30050000000001,1
123.42,123.68,123.4,0.00040512072597631565,123.38499999999999,122.5465,1
123.47,123.42,123.68,0.002186766016036179,123.542,122.83250000000001,0
123.74,123.47,123.42,-0.0004040730564085493,123.6,123.0305,0
123.69,123.74,123.47,-0.0008893200743794738,123.58,123.2125,0
123.58,123.69,123.74,-0.004369639100177958,123.50399999999999,123.3545,1
123.04,123.58,123.69,0.0008940182054615331,123.43999999999998,123.4125,1
123.15,123.04,123.58,8.120178643933329e-05,123.324,123.43300000000002,0
123.16,123.15,123.04,0.0,123.218,123.40899999999999,0
123.16,123.16,123.15,-0.007551152971744024,122.94800000000001,123.26399999999998,1
122.23,123.16,123.16,0.0019635114129099573,122.83400000000002,123.16899999999998,1
122.47,122.23,123.16,0.0015514003429411005,122.73599999999999,123.08800000000001,1
122.66,122.47,122.23,0.002364258927115559,122.694,123.00900000000001,1
122.95,122.66,122.47,0.003334688897925986,122.734,122.976,1
123.36,122.95,122.66,8.106355382619945e-05,122.96199999999999,122.95500000000001,0
123.37,123.36,122.95,-0.01685985247629085,122.726,122.78,1
121.29,123.37,123.36,0.008079808722895487,122.648,122.69200000000001,1
122.27,121.29,123.37,0.001063220740983084,122.53800000000001,122.61599999999999,0
122.4,122.27,121.29,-0.004084967320261423,122.24600000000001,122.49000000000001,0
121.9,122.4,122.27,-0.0008203445447088065,121.93199999999999,122.447,1
121.8,121.9,122.4,0.0016420361247948545,122.074,122.4,0
122.0,121.8,121.9,-0.0008196721311475308,122.0,122.324,1
121.9,122.0,121.8,0.0017145200984411968,121.94180000000001,122.23989999999999,0
122.109,121.9,122.0,-0.006870910416103659,121.81580000000001,122.0309,0
121.27,122.109,121.9,-0.0018141337511338174,121.66579999999999,121.7989,0
121.05,121.27,122.109,-0.007765386204047875,121.28779999999999,121.6809,1
120.11,121.05,121.27,0.0029139955041210808,120.99980000000001,121.4999,0
120.46,120.11,121.05,-0.016603021749958535,120.27000000000001,121.10590000000002,1
118.46,120.46,120.11,0.004220834036805732,119.80799999999999,120.8119,1
118.96,118.46,120.46,0.001597175521183658,119.428,120.54690000000001,0
119.15,118.96,118.46,-0.006126731011330322,119.08999999999999,120.18890000000002,1
118.42,119.15,118.96,0.004728930923830532,118.79400000000001,119.8969,1
118.98,118.42,119.15,0.0013447638258530237,118.92999999999999,119.6,0
119.14,118.98,118.42,-0.009232835319791799,118.74600000000001,119.277,1
118.04,119.14,118.98,0.0066079295154184425,118.67999999999999,119.054,0
118.82,118.04,119.14,-0.00016832183134152245,118.756,118.923,1
118.8,118.82,118.04,0.007491582491582438,118.898,118.846,0
119.69,118.8,118.82,-0.011696883616007958,118.728,118.829,1
118.29,119.69,118.8,0.0018598359962802569,118.822,118.78400000000002,0
118.51,118.29,119.69,-0.00253143194667127,118.7,118.69000000000001,0
118.21,118.51,118.29,-0.006683021740969353,118.424,118.58999999999999,0
117.42,118.21,118.51,-0.009368080395162681,117.75,118.324,0
116.32,117.42,118.21,-0.01942916093535063,116.904,117.816,1
114.06,116.32,117.42,0.0016657899351217864,116.05199999999999,117.43700000000001,1
114.25,114.06,116.32,0.005164113785558033,115.378,117.03899999999999,0
114.84,114.25,114.06,-0.006008359456635248,114.724,116.574,1
114.15,114.84,114.25,0.012877792378449326,114.58400000000002,116.16699999999999,1
115.62,114.15,114.84,0.0034596090641756394,114.976,115.93999999999998,1
116.02,115.62,114.15,0.003102913290812026,115.402,115.727,0
116.38,116.02,115.62,-0.0071318095892765054,115.54400000000001,115.46099999999998,0
115.55,116.38,116.02,-0.010471657291215908,115.582,115.15299999999999,1
114.34,115.55,116.38,0.013118768584922114,115.626,115.10499999999999,1
115.84,114.34,115.55,0.0008632596685083094,115.61000000000001,115.293,0
115.94,115.84,114.34,-0.0014662756598240456,115.48800000000001,115.44500000000001,1
115.77,115.94,115.84,8.637816360024253e-05,115.53400000000002,115.53900000000002,1
